_a_a_wo_mie_ne_yu_tu_ao	啊啊窝咩呢鱼突熬
_ba_ba_bo_die_le_nv_nu_bao	巴巴波爹乐女奴包
_pa_pa_po_tie_ge_wen_chan_yao	趴趴坡贴歌温缠摇
_ma_ma_mo_nie_shi_fu_tong_la	妈妈摸捏师夫通啦
_fa_fa_fo_lie_shu_feng_ran_tu	发发佛咧梳风然突
_da_da_duo_jie_ru_deng_duan_dao	哒哒多结如灯端刀
_ta_ta_tuo_qie_kuan_za_yong_ao	塌塌拖切宽咋用熬
_na_na_nuo_xie_huan_ca_tong_mao	拿拿挪写欢擦通毛
_la_la_luo_yue_er_pu_wei_ha	啦啦罗月儿扑威哈
_ga_ga_guo_zhi_zhuo_zhu_hui_ca	嘎嘎郭知拙朱辉擦
_ka_ka_kuo_chi_chuo_chu_cuo_tao	咖咖扩吃戳出搓桃
_ha_ha_huo_jue_chu_men_se_su	哈哈活决出门色苏
_zha_zha_zhuo_que_zhuang_che_kong_gei	扎扎拙缺壮车空给
_cha_cha_chuo_xue_gong_she_ju_gu	插插戳学工社居孤
_sha_sha_shuo_ei_ku_ye_ke_zhua	沙沙说诶哭耶科抓
_za_za_ruo_bei_hu_bie_he_chua	咋咋若北乎别和欻
_ca_ca_zuo_shi_shuo_shu_zuo_dao	擦擦作师说梳作刀
_sa_sa_cuo_mei_de_qu_ku_sui	撒撒搓梅德趋哭绥
_ya_ya_suo_fei_ran_wu_zhuo_ao	呀呀嗦飞然无拙熬
_jia_jia_de_bei_duan_bu_chuo_bao	加加德北端不戳包
_xia_xia_ne_mei_che_chuo_sui_xiao	虾虾呢梅车戳绥宵
_wa_wa_le_fei_guang_chang_shang_zao	哇哇乐飞光昌商早
_gua_gua_ge_gu_wen_die_lun_ha	瓜瓜歌孤温爹论哈
_kua_kua_ke_wu_lun_lie_fang_bei	夸夸科乌论咧方北
_hua_hua_he_nei_ye_ri_ci_dao	花花和内耶日次刀
_zhua_zhua_zhe_lei_ru_tie_re_po	抓抓折勒如贴热坡
_chua_chua_che_gei_zu_nie_ze_mo	欻欻车给租捏则摩
_wo_wo_e_xu_hu_cheng_chen_kuo	窝窝鹅需乎成辰扩
_bo_bo_me_bu_fang_hua_shu_shao	波波么不方花梳少
_po_po_de_si_xu_he_lun_xiao	坡坡德思需和论宵
_mo_mo_te_cuo_ju_mu_nei_ma	摸摸特搓居目内妈
_fo_fo_ne_wei_wen_gu_me_ao	佛佛讷维稳固么奥
_duo_duo_le_dui_wan_shui_kua_xiao	多多勒对弯水夸宵
_tuo_tuo_ge_fu_lei_fa_ju_chua	托托哥福勒发居欻
_nuo_nuo_ke_gui_lun_zhu_ne_mao	诺诺可贵论著呢毛
_luo_luo_he_du_gei_da_qu_kuo	罗罗和杜给大去扩
_guo_guo_zhe_hui_mie_tu_ei_ou	郭郭这挥咩突诶欧
_kuo_kuo_che_zhu_he_zuo_qi_te	扩扩车朱和作七特
_huo_huo_she_chu_le_suo_xi_ne	活活社出勒嗦西呢
_zhuo_zhuo_re_shui_zhi_ye_suo_mou	拙拙热水之耶嗦牟
_chuo_chuo_ze_cu_cong_teng_wei_bou	戳戳则粗从腾威bou
_shuo_shuo_ce_zui_shi_guang_du_ka	说说册醉时光杜咖
_ruo_ruo_se_zha_nie_bo_er_wu	若若色扎捏波儿乌
_zuo_zuo_ye_cu_nen_bie_pi_huo	作作耶粗嫩别皮活
_cuo_cuo_bie_gui_fang_fu_ga_tao	搓搓别规仿佛高桃
_suo_suo_gu_sha_ei_dong_ya_ou	嗦嗦古沙诶动呀欧
_e_e_ye_hui_wang_kang_gang_zhao	鹅鹅耶辉望康刚昭
_me_me_bie_zhen_hua_chi_bo_kou	么么别振华吃波口
_de_de_fang_zhi_cha_ci_ya_liao	德德纺织插次呀撩
_te_te_mie_shui_bie_luo_yong_mei	特特咩水别罗用梅
_ne_ne_die_guang_shuo_ca_zhong_rao	呢呢爹光说擦中绕
_le_le_tie_zui_cu_lie_ce_fo	勒勒铁嘴粗咧册佛
_ge_ge_nie_yong_su_mo_lei_cuo	歌歌捏用苏摩勒搓
_ke_ke_lie_sui_yong_ben_bo_duan	科科咧绥用奔波端
_he_he_jie_zi_zong_da_ri_mo	和和结子总大日摩
_zhe_zhe_qie_dong_nv_dan_nu_suo	折折切动女单奴嗦
_che_che_wang_chi_sha_si_bo_bu	车车望吃沙司波不
_she_she_yue_zong_ce_zhuang_nan_ku	社社月总册壮男哭
_re_re_xie_tong_lv_tan_er_ao	热热谢同旅谈儿熬
_ze_ze_jue_zhong_er_zhi_wa_dou	则则决中儿之哇兜
_ce_ce_guang_shi_za_zhi_wo_gou	册册光时杂之我勾
_se_se_que_ni_san_pu_shuo_rou	色色缺你三扑说柔
_ye_ye_ei_he_huo_zong_ba_jiu	耶耶诶和活总八九
_bie_bie_bei_zhe_zhuo_cong_pa_qiu	别别北这拙从趴秋
_mie_mie_mei_nen_zi_ang_se_fou	咩咩梅嫩子昂色否
_die_die_fei_ci_se_yong_re_rou	爹爹飞次色用热柔
_tie_tie_yu_e_zi_ju_ge_cha	铁铁鱼鹅子居哥插
_nie_nie_nv_me_ci_qu_ke_sha	捏捏女么次去科沙
_lie_lie_nei_kong_xia_te_guo_yao	咧咧内空下特郭摇
_jie_jie_lei_zhen_qie_chi_ke_wo	姐姐勒真切吃科我
_qie_qie_gei_qie_wen_bi_qu_sha	切切给切温笔去沙
_xie_xie_qu_ne_chi_qu_che_ca	谢谢去呢吃去车擦
_yue_yue_xu_le_shi_xu_she_sa	月月需勒是需社撒
_jue_jue_zu_teng_que_mu_jue_tou	决决卒腾缺木决头
_que_que_wei_que_ran_lv_ya_mao	缺缺威缺然旅呀毛
_xue_xue_dui_xue_duan_yu_can_bao	学学对学端鱼残包
_ei_ei_du_she_ri_zi_er_qu	诶诶杜社日子儿去
_bei_bei_tu_re_tuo_yu_wu_zhao	北北突热托鱼乌昭
_mei_mei_lu_ce_tu_zhuang_wen_na	梅梅路册突壮温娜
_fei_fei_gu_se_ji_luo_dong_jia	飞飞古色吉罗动家
_nei_nei_zhu_wang_ren_zhuo_lun_fu	内内朱望人拙伦福
_lei_lei_chu_mie_che_wo_gua_lao	蕾蕾除灭车我挂老
_gei_gei_shu_die_she_bo_kua_gao	给给叔爹射波跨高
_wei_wei_nv_jia_que_kuo_cu_liu	威威女家缺扩粗流
_dui_dui_lv_zuo_wang_qiang_xiang_ou	对对旅作望强香欧
_gui_gui_qu_wa_nu_keng_ken_nuo	规规屈哇女坑肯挪
_hui_hui_er_shi_chua_lv_zhua_yao	辉辉儿是欻旅抓摇
_shui_shui_si_she_za_xu_zhe_tiao	水水司社杂需这条
_zui_zui_chi_kua_duan_ri_yue_ha	最最吃宽端日月哈
_sui_sui_ri_zhuan_ba_wen_teng_lao	岁岁日转八温腾老
_ang_ye_yi_guo_tong_nei_shao_kuo	昂耶一郭同内少扩
_bang_bie_bi_jue_xi_sha_me_ei	邦别比决西沙么诶
_mang_mie_mi_xue_bu_yang_men_mo	忙咩米雪不扬门摩
_dang_die_di_ei_pu_ta_qie_fo	当爹低诶扑他切佛
_tang_tie_ti_bei_su_jie_se_duo	汤铁提北苏结色多
_lang_lie_li_mei_mu_ni_shu_nuo	郎咧里梅木尼梳挪
_gang_gan_dui_kuo_ga_yu_kua_rao	刚干对扩噶鱼夸绕
_kang_ka_fang_qie_hu_ben_ze_zu	康咖方切呼奔则租
_hang_ha_wang_xie_ju_te_zhi_dang	航哈望谢居特之当
_zhang_zha_guang_yue_fu_que_nen_fa	章扎光月福缺嫩发
_chang_nie_du_xue_an_re_nu_zao	昌捏杜雪安热女早
_shang_xue_nuo_guang_gen_ru_wo_kao	商雪挪光根如我考
_rang_jie_ji_fei_xia_kong_chua_hou	让结几飞下空欻后
_zang_za_zhuang_jue_nu_bei_ni_you	脏扎壮决女北尼有
_yang_tuo_lan_sa_zi_che_xia_you	扬托兰撒子车下有
_liang_luo_ka_lun_ta_hui_hua_chou	良罗咖伦他回花抽
_jiang_guo_han_me_lu_zhong_fo_ou	江郭寒么路中佛欧
_qiang_kuo_zhan_sui_mo_lv_pu_zong	强扩站绥摩旅扑总
_xiang_huo_cha_chang_tu_ha_jue_guo	香活茶长途哈决郭
_en_eng_zhuo_ri_ruo_ru_fei_a	恩英拙日若如飞啊
_ben_beng_chuo_zan_ne_shu_shui_lao	本崩戳簪呢梳水老
_men_meng_ruo_san_ru_ke_er_bu	门蒙若三如科儿不
_fen_feng_zuo_yan_yue_me_gua_liu	分风作咽月么瓜流
_deng_cuo_gui_po_zhuang_zu_bo_tu	登搓规坡壮租波突
_teng_suo_ben_dan_sha_qi_yue_xiao	腾嗦奔单沙七月宵
_nen_neng_e_wan_zui_bo_nv_bu	嫩能鹅晚最波女不
_gen_geng_de_yi_xu_za_lu_lao	根庚德一需杂路老
_ken_keng_te_bi_er_chi_si_mao	肯坑特比儿吃司毛
_hen_heng_ne_pi_nei_tuo_shui_za	痕恒呢皮内托水扎
_zhen_zheng_le_mi_lei_nuo_hui_die	珍整勒米勒挪回爹
_chen_cheng_ge_di_gei_luo_zui_jiao	辰成哥低给罗最娇
_shen_sheng_ke_ti_zi_ha_gu_gao	声生科提子哈孤高
_ren_reng_he_ni_ci_zha_ku_kao	人仍和尼次扎哭考
_zen_zeng_zhe_li_si_cha_hu_hao	怎增这里司茶呼好
_biao_er_wen_cong_fa_shi_po_hou	标儿文从发誓坡后
_tiao_er_tan_pi_zhi_ni_ya_she	条儿摊皮之尼呀社
_you_er_shan_ni_que_wu_gong_deng	优儿山尼缺五公登
_liu_er_ya_e_xue_gu_mei_mou	流儿呀鹅雪古梅牟
_jiu_er_duan_li_ju_cha_tu_tao	九儿端里居茶突桃
_qiu_zi_ran_ji_chi_jia_chu_chao	秋子然几吃家出超
_ran_ran_zong_ma_zong_duo_zhong_wu	然然总马总多中五
_duan_duan_fang_shu_zheng_zhen_guo_wen	端端方梳正真郭温
_wen_wen_yong_ju_na_nv_hua_zao	问问用具那女花藻
_lun_lun_gong_ci_na_er_ri_mao	伦伦公次呐儿日毛
_fang_fang_yi_hu_fo_gei_suo_fou	芳芳一胡佛给所否
_wang_wang_bi_zhu_duo_wei_le_xiao	旺旺笔朱多威勒宵
_guang_guang_pi_chu_tuo_dui_ge_ou	光光皮出托对歌欧
_zhuang_zhuang_ti_zu_guo_nei_zuo_nen	壮壮踢足郭内作嫩
_yong_yong_ji_yu_ka_mu_ji_qiu	雍雍几鱼咖木几秋
_dong_dong_qi_nv_ha_fu_qi_lao	东东妻女哈芙其老
_tong_tong_xi_lv_zha_du_xi_gao	统统希律扎渡西高
_gong_gong_pu_na_xie_duo_chua_zhao	工工扑呐些多欻昭
_kong_kong_mu_la_yue_tuo_hua_kao	空空木啦月托花考
_zhong_zhong_lu_cha_xue_huo_zhua_hao	中中路茶雪活抓好
_zong_zong_hu_ca_zhong_ei_sa_qiao	宗宗呼擦中诶撒悄
_cong_cong_zhu_sa_mei_wu_qie_ou	匆匆朱撒梅五切欧
_yi_yi_wu_da_jie_pu_gong_tao	一一五大街扑公桃
_bi_bi_bu_yong_yang_liang_jiang_hang	笔笔不用扬两江航
_pi_pi_pu_jia_nei_bi_gui_gao	皮皮扑家内比圭高
_mi_mi_mu_en_e_xi_tuo_ran	咪咪木恩鹅西托然
_di_di_fu_xia_gei_zhong_zhua_kou	低低福下给中抓口
_ti_ti_du_wa_ran_a_dong_bao	梯梯杜哇然啊东宝
_ni_ni_tu_guan_yi_shi_mu_dong	妮妮突关一是目动
_li_li_nu_kuan_mi_ru_luo_zao	哩哩奴宽米如罗早
_ji_ji_lu_huan_di_cu_kuo_liao	几几路欢滴粗扩撩
_qi_qi_gu_zhuan_ti_su_huo_jiao	齐齐古转梯苏活叫
_xi_xi_ku_chua_wei_ti_wen_guang	西西哭欻威梯文光
_wu_wu_yu_shi_sa_cong_mo_xiao	五五于是撒从磨削
_bu_bu_nv_ri_ya_li_dui_chao	步步女日雅里对超
_pu_pu_lv_a_dui_yi_lun_zhuang	仆仆旅啊对一轮壮
_mu_mu_ju_ba_lie_po_you_chou	木木居巴咧坡忧愁
_fu_fu_qu_pa_gui_pi_he_qiu	夫夫趋趴规皮和秋
_du_du_xu_ma_zhu_e_dong_dao	杜杜需麻朱鹅东刀
_tu_tu_er_ci_ga_ni_wei_zhao	兔兔而次尕妮韦昭
_nu_nu_zi_ri_wu_zui_fo_shou	奴奴子日乌最佛手
_lu_lu_ci_a_hui_di_duan_wang	卢卢呲啊辉低端望
_gu_gu_si_ban_jv_shu_gui_sha	孤孤司班居梳规沙
_ku_ku_zhi_fa_cu_ran_ge_biao	哭哭植发粗然歌标
_hu_hu_chi_da_shui_li_se_cong	呼呼吃大水里色从
_zhu_zhu_shi_ta_zu_ti_ce_zong	朱朱是他足梯册总
_chu_chu_ri_na_zui_qi_ze_zhong	出出日呐最七则中
_shu_shu_a_re_sui_xi_sui_pa	梳梳啊热绥西绥趴
_ru_ru_ba_ze_lv_lu_ni_hao	如如巴则旅卢你好
_zu_zu_pa_ce_mu_guang_lun_ka	租租趴册木光伦咖
_cu_cu_ma_se_qi_ge_gong_gu	粗粗麻色七歌公孤
_su_su_fa_ye_e_kua_pu_dao	速速法爷额跨扑到
_yu_yu_er_si_ka_bu_yue_chuo	鱼鱼儿司咖不月戳
_nv_nv_zi_pan_zhong_a_tie_qiao	女女子盘仲啊铁桥
_lv_lv_ci_ma_sui_bu_xie_ben	屡屡此马燧不写本
_ju_ju_si_fa_su_li_xie_zuo	居居司发苏里写做
_qu_qu_zhi_lan_que_ci_cong_tiao	区区位兰缺次从条
_xu_xu_chi_ga_bei_tong_po_qiao	需需吃噶北通坡桥
_er_er_zi_da_fei_gong_cu_po	儿儿子大飞公粗坡
_zi_zi_zhi_ka_yi_a_mi_ao	字字纸卡以阿米奥
_ci_ci_chi_ha_bi_ba_di_bao	此次吃哈比八低保
_si_si_shi_zha_pi_pa_ti_zou	思思是扎琵琶梯走
_zhi_zhi_a_bie_zhuo_jia_ji_mao	直至啊别卓佳鸡毛
_chi_chi_ba_qi_ri_xia_ru_rao	吃吃巴七日下入绕
_shi_shi_pa_mie_shuo_xia_xi_tao	是是怕咩说下西逃
_ri_ri_ma_die_ruo_wa_wu_mao	日日马蝶若哇五毛
_er_qi_beng_ni_neng_gua_nen_hao	而起蹦你能瓜嫩好
_er_beng_ku_za_ben_xi_hui_hao	而蹦哭杂本西辉好
_er_wo_mi_mo_rao_si_ji_zhong	而我米莫饶司集中
_er_gui_xu_guan_xue_si_jie_ao	而归须关学思桀骜
_er_lv_pi_po_chao_ci_li_fa	而驴皮坡超刺理发
_er_nv_bi_bo_shao_zi_yue_gua	而女碧波烧子月瓜
_er_pi_she_hu_liang_nen_duo_zou	而皮蛇胡良嫩多走
_er_bi_che_ku_reng_fen_fo_gao	而比车哭仍分佛高
_er_po_ti_duo_xu_du_bi_chang	而坡体多须杜比长
_yu_duan_tong_xu_gan_le_ru_de	鱼断通须干了如得
_yu_wo_an_jie_zhi_zong_wa_tou	鱼我安街之总瓦头
_yu_zhu_dui_zhan_mu_ruo_ji_de	鱼珠对战木若记得
_yu_nie_kong_chan_jue_lv_de_liu	鱼捏空禅绝律得留
_yu_di_mie_chen_zhuan_nv_sa_bao	鱼地灭尘转女萨宝
_zhi_cuo_bi_bie_hen_kuan_xie_zhao	知错别别恨宽谢照
_zhi_yu_yue_zhe_pu_sheng_shen_huo	之鱼月这普生神火
_er_shui_guo_biao_er_zui_chuo_tiao	而水果标而最戳条
_er_e_jiu_yu_xie_de_ran_zao	而鹅酒鱼谢得然燥
_er_dong_shan_tie_chi_er_ju_mao	而东山铁翅而居猫
_er_lei_nu_ze_you_er_de_dou	而累奴则有而得斗
_er_lun_gui_gua_gou_er_die_chao	而轮规瓜钩而爹超
_er_bo_di_fo_lao_er_he_hou	而波地佛老而和侯
_er_zhuang_mi_zhao_zi_que_chua_liu	而装米照子却唰溜
_er_nei_yu_mie_liao_er_re_rou	而内鱼灭廖而热柔
_er_fei_zhuang_hen_luo_er_she_sou	而飞装恨罗而蛇搜
_er_xu_su_di_kao_er_su_xiao	而须苏地考而苏肖
_er_yu_yi_wo_gong_er_xue_gou	而鱼一我功而学钩
_er_dan_bei_zou_er_xi_suo_jiu	而单被走而西索酒
_er_zhong_kua_jiao_er_yi_zhe_bao	而忠夸交而医这宝
_er_shu_pi_liu_er_ji_zuo_qiu	而树皮流而几作秋
_er_hui_duo_qu_fu_zhi_pu_heng	而回多去福之普恒
_er_chan_gei_tao_er_san_ei_yao	而禅给涛而三诶幺
_er_han_nei_bao_er_zhan_lei_mao	而含内宝而占累猫
_er_sui_ruo_tou_er_ran_mie_yao	而岁弱头而然灭幺
_er_lie_can_shao_zi_shan_qi_biao	而裂残烧子山七标
_er_lan_fei_kao_er_gan_wei_ao	而兰飞考而干为骜
_er_guang_ze_rao_er_cong_nuo_zhou	而光泽饶而从诺州
_er_wang_can_he_er_zong_san_zhe	而王参和而总三这
_er_mo_ni_e_er_fo_li_me	而莫尼诶而佛利么
_er_wei_te_jiao_zhi_zhu_geng_you	而维特交之朱更有
_er_nan_mei_tou_er_ru_mi_jiu	而南眉头而如米酒
_er_can_wan_dui_le_zhao_er_nuo	而残万对了照而诺
_er_di_zhuo_shan_ci_bao_zhi_rou	而地卓山刺宝之柔
_er_ruo_kong_lei_zi_guo_er_tao	而若空累子过而涛
_er_bie_ku_zeng_zen_chuo_er_tou	而别哭增怎戳而头
_yi_shui_shuo_dou_zhi_xie_ka_mou	一水说都之谢卡某
_yu_nei_chan_jiu_er_dui_ju_xia	鱼内禅酒而对居下
_yu_re_an_zha_yu_ye_fan_la	鱼热安扎鱼也翻啦
