_a_a_wo_mie_gao_nie_ne_shao	啊啊我灭高捏呢少
_ba_ba_bo_die_kao_lie_le_rao	巴巴伯爹靠列了绕
_pa_pa_po_tie_hao_jie_ge_hao	怕怕破铁好借个号
_ma_ma_mo_nie_zhao_qie_biao_ben	妈妈墨涅找且标本
_fa_fa_fo_lie_chao_xie_piao_nen	发发佛烈抄写票嫩
_da_da_duo_jie_shao_yue_miao_kong	大大多杰少岳庙空
_ta_ta_tuo_qie_rao_nue_diao_hong	他他托切绕虐刁洪
_na_na_nuo_xie_zao_lue_tiao_jiong	娜娜诺写早略条囧
_la_la_luo_yue_cao_jue_you_qiong	拉拉落月草觉又穷
_ga_ga_guo_nue_sao_que_miu_xiong	嘎嘎过虐扫却缪红
_ka_ka_kuo_lue_yao_xue_diu_zhong	卡卡阔略要学丢中
_ha_ha_huo_jue_niao_ei_pu_ao	哈哈火觉鸟欸普奥
_zha_zha_zhuo_que_liao_bei_mu_bao	渣渣卓缺料贝母奥
_cha_cha_chuo_xue_jiao_pei_fu_pao	查查辍学教培副炮
_sha_sha_shuo_ei_miao_kun_qu_ao	莎莎说欸秒昆曲奥
_za_za_ruo_bei_diao_hun_xu_bao	咋咋若被掉混续保
_ca_ca_zuo_pei_tiao_zhun_er_ao	擦擦作陪调准而奥
_sa_sa_cuo_mei_you_chun_zi_ao	飒飒错没有春子奥
_ya_ya_suo_fei_miu_shun_ci_bao	丫丫索菲缪顺次包
_dia_dia_e_xue_qiao_run_si_pao	嗲嗲鹅学桥润丝跑
_lia_lia_me_ei_diu_zun_zhi_ao	俩俩么欸丢遵旨奥
_jia_jia_de_bei_niu_cun_chi_bao	佳佳德贝牛尊吃饱
_qia_qia_te_pei_liu_sun_shi_pao	恰恰特配六损失跑
_xia_xia_ne_mei_jiu_fang_ta_zou	下下呢没旧房砸头
_wa_wa_le_fei_qiu_wang_na_cou	娃娃了非球王那凑
_gua_gua_ge_dei_xiu_guang_la_sou	瓜瓜个得修光啦搜
_kua_kua_ke_tei_ran_wu_zhuo_ao	夸夸可忒然乌卓奥
_hua_hua_he_nei_duan_bu_chuo_bao	花花河内端部戳爆
_zhua_zhua_zhe_lei_tuan_pu_shuo_pao	抓抓这类湍瀑说跑
_chua_chua_che_gei_nuan_mu_ruo_mao	欻欻车给暖木箬帽
_shua_shua_she_kei_luan_fu_zuo_dao	耍耍蛇剋卵负坐到
_wo_wo_e_hei_ruan_dui_le_zhao	我我额黑软对了找
_bo_bo_me_zhei_zuan_tu_cuo_tao	伯伯么这钻涂错套
_po_po_de_shei_cuan_nu_suo_nao	婆婆的谁窜奴所闹
_mo_mo_te_zei_suan_lu_e_chao	默默地贼算路恶炒
_fo_fo_ne_wei_wen_gu_me_ao	佛佛讷维稳固么奥
_duo_duo_le_dui_dun_ku_de_bao	多多了对顿库德堡
_tuo_tuo_ge_tui_tun_hu_te_pao	妥妥个腿屯胡特跑
_nuo_nuo_ke_gui_lun_zhu_ne_mao	诺诺可贵论著呢毛
_luo_luo_he_kui_gun_chu_le_dao	洛洛和亏滚出了到
_guo_guo_zhe_hui_kun_shu_ge_tao	果果这回坤叔个套
_kuo_kuo_che_zhui_hun_ru_ke_nao	扩阔车追魂如可恼
_huo_huo_she_chui_zhun_zu_he_lao	或火舌吹准组合老
_zhuo_zhuo_re_shui_chun_cu_zhe_gao	灼灼热水春促这高
_chuo_chuo_ze_rui_shun_su_che_kao	戳戳泽瑞顺素车靠
_shuo_shuo_ce_zui_run_yu_ca_ao	说说测最润宇擦奥
_ruo_ruo_se_cui_zun_nv_sa_bao	若若瑟崔尊女撒包
_zuo_zuo_ye_tui_cun_lv_ya_pao	做作业推存绿芽跑
_cuo_cuo_bie_gui_sun_jv_dia_mao	搓搓别亏损据嗲毛
_suo_suo_pie_kui_fang_biao_kuang_gang	索索撇葵芳裱框杠
_e_e_ye_hui_wang_piao_huang_kang	饿饿夜会王票黄康
_me_me_bie_zhui_guang_miao_zhuang_hang	么么别追光苗庄行
_de_de_pie_chui_kuang_diao_chuang_zhang	的的撇吹狂掉窗长
_te_te_mie_shui_huang_tiao_shuang_chang	特特灭水黄条双长
_ne_ne_die_rui_zhuang_you_yong_shang	讷讷爹瑞装有用上
_le_le_tie_zui_chuang_miu_dong_zang	乐乐铁嘴床缪东葬
_ge_ge_nie_cui_shuang_diu_tong_cang	哥哥捏崔双丢筒仓
_ke_ke_lie_sui_yong_niu_nong_sang	可可列随用牛农桑
_he_he_jie_ao_mei_he_huo_lao	和何洁奥美合伙老
_zhe_zhe_qie_bao_fei_zhe_zhuo_gao	这这切薄飞着卓高
_che_che_xie_pao_dei_che_chuo_kao	车车斜抛得车戳靠
_she_she_yue_mao_tei_she_shuo_hao	射射月貌忒设说好
_re_re_nue_dao_nei_re_ruo_zhao	热热虐到内热若找
_ze_ze_lue_tao_lei_ze_zuo_chao	啧啧略套雷泽座超
_ce_ce_jue_nao_gei_ce_cuo_shao	测测绝闹给测错少
_se_se_que_lao_kei_se_suo_rao	色色却老剋瑟缩绕
_ye_ye_ei_fou_hei_ye_niu_chong	爷爷欸否黑夜牛冲
_bie_bie_bei_dou_zhei_bie_liu_rong	别别被都这别刘荣
_pie_pie_pei_tou_shei_pie_jiu_zong	撇撇呸投谁撇九总
_mie_mie_mei_nen_zei_mie_qiu_cong	咩咩没嫩贼灭求从
_die_die_fei_lou_wei_die_xiu_song	爹爹飞楼微跌秀松
_tie_tie_dei_gou_dui_tie_ran_ao	贴贴得狗对贴然奥
_nie_nie_tei_kou_tui_nie_duan_bao	捏捏忒口推捏断包
_lie_lie_nei_hou_gui_lie_tuan_pao	列列内后归猎团跑
_jie_jie_lei_zhou_kui_jie_nuan_mao	姐姐雷州葵姐暖毛
_qie_qie_gei_chou_hui_qie_luan_dao	切切给抽回且乱刀
_xie_xie_kei_shou_zhui_xie_ruan_tao	谢谢剋受追写软陶
_yue_yue_hei_rou_chui_yue_zuan_nao	月月黑肉垂月钻闹
_nue_nue_zhei_zou_shui_nue_cuan_lao	虐虐这邹水虐窜老
_lue_lue_shei_cou_rui_lue_suan_gao	略略谁凑瑞略酸高
_jue_jue_zei_sou_zui_jue_wen_kao	决绝贼搜最绝文考
_que_que_wei_biao_cui_que_dun_hao	雀雀为表翠雀顿号
_xue_xue_dui_piao_sui_xue_tun_zhao	学学对票随学屯找
